symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
SRF,2019-05-14,2019-05-20,499.08,583.65,235,FORCED_2DAY_AFTER_TARGET,286.78,19587.17,6
TITAN,2019-05-14,2019-06-28,1158.56,1334.7,62,FORCED_2DAY_AFTER_TARGET,180.11,10740.57,45
HDFCBANK,2019-05-20,2019-07-15,1190.57,1188.65,79,NO_TARGET,216.82,-368.5,56
NAUKRI,2019-05-30,2019-07-23,415.06,431.0,110,NO_TARGET,114.67,1638.73,54
OBEROIRLTY,2019-07-10,2019-07-25,601.69,532.25,57,SL,84.53,-4042.61,15
PHOENIXLTD,2019-07-17,2019-08-05,329.94,313.25,239,SL,180.3,-4169.21,19
ICICIPRULI,2019-07-24,2019-08-13,387.93,372.95,267,SL,233.44,-4233.1,20
UNITDSPR,2019-08-07,2019-08-21,603.0,573.0,133,SL,183.19,-4173.19,14
ICICIGI,2019-08-26,2019-09-11,1200.37,1120.25,49,SL,137.28,-4063.16,16
TATACONSUM,2019-08-26,2019-09-13,268.59,256.65,335,SL,204.2,-4204.1,18
COFORGE,2019-09-20,2019-10-01,278.89,268.5,384,SL,241.01,-4230.77,11
ICICIPRULI,2019-08-19,2019-10-04,391.95,456.0623437500001,153,SL,153.49,9655.7,46
M&MFIN,2019-10-04,2019-10-15,200.35,191.8,467,SL,211.92,-4204.77,11
TVSMOTOR,2019-10-15,2019-10-23,402.5,462.95,197,FORCED_2DAY_AFTER_TARGET,197.14,11711.51,8
ADANIENT,2019-10-16,2019-11-11,156.63,210.85,203,FORCED_2DAY_AFTER_TARGET,94.12,10912.54,26
IGL,2019-09-24,2019-11-18,179.14,206.5,194,NO_TARGET,94.78,5213.06,55
SHRIRAMFIN,2019-10-09,2019-12-02,210.6,212.65,286,NO_TARGET,144.83,441.47,54
LUPIN,2019-11-13,2019-12-02,743.55,796.6125,141,SL,247.64,7234.17,19
BHARTIARTL,2019-10-25,2019-12-18,371.25,426.15,77,NO_TARGET,80.44,4146.86,54
CHOLAFIN,2019-12-13,2019-12-26,316.78,300.65,247,SL,178.99,-4163.1,13
TATACOMM,2019-11-28,2020-01-21,435.11,430.6,50,NO_TARGET,61.3,-286.8,54
KOTAKBANK,2019-12-04,2020-01-21,1658.25,1600.2,68,SL,253.24,-4200.64,48
ATGL,2019-12-26,2020-01-24,159.49,148.75,372,SL,138.31,-4133.59,29
DLF,2020-01-10,2020-02-18,241.7,217.3,163,SL,95.48,-4072.68,39
PHOENIXLTD,2020-01-29,2020-02-26,425.11,471.60921874999997,178,SL,185.72,8091.14,28
CHOLAFIN,2020-01-23,2020-02-28,321.05,308.95,330,SL,238.54,-4231.54,36
AUROPHARMA,2020-02-20,2020-03-09,610.74,482.3,31,SL,51.47,-4033.11,18
TORNTPOWER,2020-05-13,2020-05-18,305.52,295.6,403,SL,275.47,-4273.23,5
