symbol,instrument_key,support_date,signal_date,entry_date,entry_price,stop_loss
ABCAPITAL,NSE_EQ|INE674K01013,2020-10-28,2020-10-28,2020-10-29,66.0,65.56
ABCAPITAL,NSE_EQ|INE674K01013,2021-04-16,2021-04-16,2021-04-19,116.0,118.2
ABCAPITAL,NSE_EQ|INE674K01013,2024-02-02,2024-02-02,2024-02-05,182.0,169.24
ACC,NSE_EQ|INE012A01025,2016-05-23,2016-05-23,2016-05-24,1418.05,1413.58
ACC,NSE_EQ|INE012A01025,2016-08-12,2016-08-12,2016-08-16,1654.3,1623.31
ACC,NSE_EQ|INE012A01025,2016-08-30,2016-08-30,2016-08-31,1688.6,1648.43
ACC,NSE_EQ|INE012A01025,2018-10-01,2018-10-01,2018-10-03,1565.7,1569.49
ACC,NSE_EQ|INE012A01025,2019-05-23,2019-05-23,2019-05-24,1651.95,1620.84
ACC,NSE_EQ|INE012A01025,2021-04-22,2021-04-22,2021-04-23,1825.9,1827.71
ACC,NSE_EQ|INE012A01025,2021-07-06,2021-07-06,2021-07-07,2031.7,1987.45
ACC,NSE_EQ|INE012A01025,2022-05-16,2022-05-16,2022-05-17,2220.0,2173.03
ACC,NSE_EQ|INE012A01025,2022-05-30,2022-05-30,2022-05-31,2214.9,2205.61
ACC,NSE_EQ|INE012A01025,2023-06-28,2023-06-28,2023-06-30,1819.95,1797.62
ADANIENSOL,NSE_EQ|INE931S01010,2015-12-14,2015-12-14,2015-12-15,38.25,35.17
ADANIENSOL,NSE_EQ|INE931S01010,2016-09-28,2016-09-28,2016-09-29,40.0,39.44
ADANIENSOL,NSE_EQ|INE931S01010,2017-03-01,2017-03-01,2017-03-02,64.85,62.36
ADANIENSOL,NSE_EQ|INE931S01010,2019-01-10,2019-01-10,2019-01-11,217.4,211.44
ADANIENSOL,NSE_EQ|INE931S01010,2019-05-20,2019-05-20,2019-05-21,225.0,217.57
ADANIENSOL,NSE_EQ|INE931S01010,2020-07-28,2020-07-28,2020-07-29,237.6,228.51
ADANIENSOL,NSE_EQ|INE931S01010,2020-08-07,2020-08-07,2020-08-10,254.95,238.63
ADANIENSOL,NSE_EQ|INE931S01010,2021-12-14,2021-12-14,2021-12-15,1872.7,1843.7
ADANIENSOL,NSE_EQ|INE931S01010,2023-09-06,2023-09-06,2023-09-07,858.9,815.55
ADANIENT,NSE_EQ|INE423A01024,2017-05-02,2017-05-02,2017-05-03,113.85,111.28
ADANIENT,NSE_EQ|INE423A01024,2019-10-14,2019-10-14,2019-10-15,147.7,138.92
ADANIENT,NSE_EQ|INE423A01024,2020-01-02,2020-01-02,2020-01-03,210.25,207.86
