instrument_key,exchange_token,tradingsymbol,name,last_price
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,12791
NSE_EQ|INE139A01034,6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,183.99
NSE_EQ|INE917I01010,16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,8371
NSE_EQ|INE267A01025,1424,HINDZINC,HINDUSTAN ZINC LIMITED,438.6
NSE_EQ|INE070A01015,3103,SHREECEM,SHREE CEMENT LIMITED,28875
NSE_EQ|INE749A01030,6733,JINDALSTEL,JINDAL STEEL & POWER LTD,899.05
NSE_EQ|INE171Z01026,2144,BDL,BHARAT DYNAMICS LIMITED,1902
NSE_EQ|INE591G01025,11543,COFORGE,COFORGE LIMITED,1832
NSE_EQ|INE160A01022,10666,PNB,PUNJAB NATIONAL BANK,103.04
NSE_EQ|INE814H01011,17388,ADANIPOWER,ADANI POWER LTD,530.25
NSE_EQ|INE102D01028,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,1189.4
NSE_EQ|INE134E01011,14299,PFC,POWER FIN CORP LTD.,409.05
NSE_EQ|INE009A01021,1594,INFY,INFOSYS LIMITED,1622.9
NSE_EQ|INE376G01013,11373,BIOCON,BIOCON LIMITED.,351.35
NSE_EQ|INE619A01035,17029,PATANJALI,PATANJALI FOODS LIMITED,1649.6
NSE_EQ|INE465A01025,422,BHARATFORG,BHARAT FORGE LTD,1278.3
NSE_EQ|INE540L01014,11703,ALKEM,ALKEM LABORATORIES LTD.,4773.5
NSE_EQ|INE237A01028,1922,KOTAKBANK,KOTAK MAHINDRA BANK LTD,2169.8
NSE_EQ|INE361B01024,10940,DIVISLAB,DIVI S LABORATORIES LTD,6592
NSE_EQ|INE811K01011,20302,PRESTIGE,PRESTIGE ESTATE LTD,1716.3
NSE_EQ|INE01EA01019,27969,VMM,VISHAL MEGA MART LIMITED,129.62
NSE_EQ|INE030A01027,1394,HINDUNILVR,HINDUSTAN UNILEVER LTD.,2306.2
NSE_EQ|INE476A01022,10794,CANBK,CANARA BANK,107.22
NSE_EQ|INE721A01047,4306,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,666.35
NSE_EQ|INE028A01039,4668,BANKBARODA,BANK OF BARODA,234.15
NSE_EQ|INE670K01029,3220,LODHA,MACROTECH DEVELOPERS LTD,1483.2
NSE_EQ|INE158A01026,1348,HEROMOTOCO,HERO MOTOCORP LIMITED,4338.5
NSE_EQ|INE123W01016,21808,SBILIFE,SBI LIFE INSURANCE CO LTD,1810.9
NSE_EQ|INE192A01025,3432,TATACONSUM,TATA CONSUMER PRODUCT LTD,1100.2
NSE_EQ|INE118A01012,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,13614
NSE_EQ|INE674K01013,21614,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,260.28
NSE_EQ|INE094A01015,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,392.25
NSE_EQ|INE528G01035,11915,YESBANK,YES BANK LIMITED,19.73
NSE_EQ|INE093I01010,20242,OBEROIRLTY,OBEROI REALTY LIMITED,1910.9
NSE_EQ|INE726G01019,18652,ICICIPRULI,ICICI PRU LIFE INS CO LTD,633.75
NSE_EQ|INE073K01018,4684,SONACOMS,SONA BLW PRECISION FRGS L,486.95
